work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,lat,lon,company_name,geolocate
2020,MI,FT,Data Scientist,70000,EUR,79833,DE,0,DE,L,51.1638175,10.4478313,Germany,"(51.1638175, 10.4478313)"
2020,SE,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S,36.5748441,139.2394179,Japan,"(36.5748441, 139.2394179)"
2020,SE,FT,Big Data Engineer,85000,GBP,109024,GB,50,GB,M,54.7023545,-3.2765753,United Kingdom,"(54.7023545, -3.2765753)"
2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S,15.2572432,-86.0755145,Honduras,"(15.2572432, -86.0755145)"
2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,MI,FT,Data Scientist,11000000,HUF,35735,HU,50,HU,L,47.1817585,19.5060937,Hungary,"(47.1817585, 19.5060937)"
2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,SE,FT,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S,-41.5000831,172.8344077,New Zealand,"(-41.5000831, 172.8344077)"
2020,EN,FT,Data Scientist,45000,EUR,51321,FR,0,FR,S,46.603354,1.8883335,France,"(46.603354, 1.8883335)"
2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0,IN,L,22.3511148,78.6677428,India,"(22.3511148, 78.6677428)"
2020,EN,FT,Data Scientist,35000,EUR,39916,FR,0,FR,M,46.603354,1.8883335,France,"(46.603354, 1.8883335)"
2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,MI,FT,Data Analyst,8000,USD,8000,PK,50,PK,L,30.3308401,71.247499,Pakistan,"(30.3308401, 71.247499)"
2020,EN,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,S,36.5748441,139.2394179,Japan,"(36.5748441, 139.2394179)"
2020,SE,FT,Big Data Engineer,100000,EUR,114047,PL,100,GB,S,54.7023545,-3.2765753,United Kingdom,"(54.7023545, -3.2765753)"
2020,EN,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,M,22.3511148,78.6677428,India,"(22.3511148, 78.6677428)"
2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M,35.000074,104.999927,China,"(35.000074, 104.999927)"
2020,MI,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,L,22.3511148,78.6677428,India,"(22.3511148, 78.6677428)"
2020,SE,FT,Data Engineer,42000,EUR,47899,GR,50,GR,L,,,,
2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,MI,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,L,24.0002488,53.9994829,United Arab Emirates,"(24.0002488, 53.9994829)"
2020,EX,FT,Director of Data Science,325000,USD,325000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,EN,FT,Research Scientist,42000,USD,42000,NL,50,NL,L,52.24764975,5.541246849406163,Netherlands,"(52.24764975, 5.541246849406163)"
2020,SE,FT,Data Engineer,720000,MXN,33511,MX,0,MX,S,23.6585116,-102.0077097,Mexico,"(23.6585116, -102.0077097)"
2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,SE,FT,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L,61.0666922,-107.991707,Canada,"(61.0666922, -107.991707)"
2020,MI,FT,Data Engineering Manager,51999,EUR,59303,DE,100,DE,S,51.1638175,10.4478313,Germany,"(51.1638175, 10.4478313)"
2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,MI,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L,46.603354,1.8883335,France,"(46.603354, 1.8883335)"
2020,MI,FT,Data Engineer,65000,EUR,74130,AT,50,AT,L,47.59397,14.12456,Austria,"(47.59397, 14.12456)"
2020,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,EN,FT,Data Analyst,10000,USD,10000,NG,100,NG,S,9.6000359,7.9999721,Nigeria,"(9.6000359, 7.9999721)"
2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,S,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
2020,EX,FT,Data Engineering Manager,70000,EUR,79833,ES,50,ES,L,39.3260685,-4.8379791,Spain,"(39.3260685, -4.8379791)"
2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M,39.6621648,-8.1353519,Portugal,"(39.6621648, -8.1353519)"
2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L,39.7837304,-100.445882,United States,"(39.7837304, -100.445882)"
